title,release_date,price,link,average_review,num_positive_reviews,num_reviews,tags,genres,minrequirements
Betrayer: Curse of the Spine - Prologue,"Jul 27, 2021",0,https://store.steampowered.com/app/1686050/Betrayer_Curse_of_the_Spine__Prologue/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Full controller support', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Adventure', 'Free to Play', 'Indie']","['OS: Windows 7', 'Processor: Intel or AMD Dual Core CPU', 'Memory: 2 GB RAM', 'Graphics: Intel HD Graphics or AMD Radeon HD Graphics (Discrete): Nvidia GeForce 9600 GT or AMD Radeon HD 2400', 'DirectX: Version 11', 'Storage: 570 MB available space']"
Journey to Luonto,"Nov 27, 2017",0,https://store.steampowered.com/app/737490/Journey_to_Luonto/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Steam Cloud']","['Adventure', 'Free to Play']","['Memory: 790 MB RAM', 'Storage: 790 MB available space']"
Exoplanet,"Jul 25, 2018",0,https://store.steampowered.com/app/894380/Exoplanet/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG']","['OS: Windows 10', 'Processor: Intel Core i5 or Equivalent', 'Memory: 8 GB RAM', 'Graphics: Nvidia GTX 1070 or equivalent', 'DirectX: Version 12', 'Storage: 4500 MB available space']"
Go For A Walk,"Jan 12, 2020",0,https://store.steampowered.com/app/1121820/Go_For_A_Walk/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Casual', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 10', 'Processor: Intel Core i5-4590 / AMD FX 8350', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GTX 970 / AMD Radeon R9 290', 'DirectX: Version 10', 'Storage: 500 MB available space', 'Sound Card: Windows-based sound card', 'Additional Notes: The game is pretty minimal and will run on an VR ready PC.']"
Groove Fit Kingdom!,"Jul 15, 2020",0,https://store.steampowered.com/app/1358860/Groove_Fit_Kingdom/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Free to Play']","['OS: Windows 10', 'Processor: Intel Core i5-4590 / AMD FX 8350 or higher', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GTX 970 / AMD Radeon R9 290 or higher', 'DirectX: Version 11', 'Storage: 2 GB available space']"
Dances with Butterflies VR,"Apr 18, 2019",0,https://store.steampowered.com/app/893640/Dances_with_Butterflies_VR/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Casual', 'Free to Play', 'Simulation']",[]
Russian Fishing 4 - Amber Lake,"Nov 29, 2019",0,https://store.steampowered.com/app/986060/Russian_Fishing_4__Amber_Lake/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'MMO', 'Online PvP', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Stats']","['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']","['Requires a 64-bit processor and operating system', 'OS: Windows 7/8/10 64-bit', 'Processor: Intel® i5 3Ghz', 'Memory: 8 GB RAM', 'Graphics: GTX 760', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 40 GB available space']"
YangBo Adventure,"Jan 26, 2018",0,https://store.steampowered.com/app/772460/YangBo_Adventure/?snr=1_7_7_230_150_41,Mostly Positive,76,,['Single-player'],"['Adventure', 'Casual', 'Free to Play', 'Indie']",[]
Zoom Out Modification,"Dec 13, 2016",0,https://store.steampowered.com/app/566390/Zoom_Out_Modification/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Online PvP', 'Downloadable Content', 'Steam Cloud', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Free to Play']",[]
ModBots,"Mar 16, 2022",0,https://store.steampowered.com/app/1818960/ModBots/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Online Co-op', 'Steam is learning about this game\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Free to Play']",[]
Vaccine A,"Jul 21, 2021",0,https://store.steampowered.com/app/1686530/Vaccine_A/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Steam Cloud', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Free to Play', 'Indie']",[]
The Polynesian Cultural Center VR Experience,"Jun 6, 2019",0,https://store.steampowered.com/app/1005330/The_Polynesian_Cultural_Center_VR_Experience/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']",[],[]
Virtual Becomes Reality: A Stanford VR Experience,"Jun 30, 2021",0,https://store.steampowered.com/app/1658530/Virtual_Becomes_Reality_A_Stanford_VR_Experience/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Free to Play', 'Jeremy Bailenson', 'Tobin Asher']","['OS: Windows 7', 'Processor: AMD FX 8350 / Intel i5-4590 equivalent or better', 'Memory: 2 GB RAM', 'Graphics: NVIDIA GTX 970 / AMD Radeon R9 290 equivalent or better', 'DirectX: Version 11', 'Storage: 4 GB available space']"
Gythol Granditti: The Crypt of Darkness,"Jul 19, 2019",0,https://store.steampowered.com/app/1108630/Gythol_Granditti_The_Crypt_of_Darkness/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Steam Achievements', 'Full controller support', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Free to Play', 'Indie', 'RPG']","['OS: Windows 7 or Later', 'Processor: 2.33GHz or faster x86-compatible', 'Memory: 2 GB RAM', 'Graphics: Any', 'DirectX: Version 9.0c', 'Storage: 100 MB available space', 'Sound Card: Any']"
Twitchoos RUN: Socks & Stream,"Jun 23, 2020",0,https://store.steampowered.com/app/1188630/Twitchoos_RUN_Socks__Stream/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Full controller support', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Adventure', 'Casual', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 7, 8, 9 and 10 -  64 bit versions only', 'Processor: Intel Core i5', 'Memory: 8 GB RAM', 'Graphics: DX11 capable GPUs', 'DirectX: Version 11', 'Storage: 400 MB available space', 'Additional Notes: Nope']"
Hunted,"Oct 9, 2021",0,https://store.steampowered.com/app/1765060/Hunted/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Free to Play', 'Indie']","['Requires a 64-bit processor and operating system', 'OS: Windows 7/8/10 64-bit', 'Processor: Quad-core Intel or AMD processor, 2.5 GHz or faster.', 'Memory: 10 GB RAM', 'Graphics: NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher.', 'Storage: 5 GB available space']"
Castle Fight,"Jun 15, 2020",0,https://store.steampowered.com/app/1274020/Castle_Fight/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Shared/Split Screen Co-op', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Casual', 'Free to Play', 'Indie']","['Requires a 64-bit processor and operating system', 'OS: Windows 10']"
Leave The Red,"Jan 20, 2021",0,https://store.steampowered.com/app/1508640/Leave_The_Red/?snr=1_7_7_230_150_41,Mostly Positive,76,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Casual', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 64-bit']"
Halo Infinite,"Nov 15, 2021",0,https://store.steampowered.com/app/1240440/Halo_Infinite/?snr=1_7_7_230_150_41,Mixed,49,,"['Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play on TV']","['Action', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 RS5 x64', 'Processor: AMD Ryzen 5 1600 or Intel i5-4440', 'Memory: 8 GB RAM', 'Graphics: AMD RX 570 or Nvidia GTX 1050 Ti', 'DirectX: Version 12', 'Storage: 50 GB available space']"
Realm Royale,"Jun 5, 2018",0,https://store.steampowered.com/app/813820/Realm_Royale/?snr=1_7_7_230_150_41,Very Positive,85,,"['Online PvP', 'Partial Controller Support']","['Action', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 7', 'Processor: Intel(R) Core(TM) i5-2320 CPU @ 3.00 GHz (4 CPUs), ~3.0GHz', 'Memory: 6 GB RAM', 'Graphics: NVIDIA GeForce GTX 555', 'DirectX: Version 11', 'Storage: 5 GB available space', 'Sound Card: DirectX compatible sound card']"
EVE Online,"Dec 15, 2010",0,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_230_150_41,Mixed,67,,"['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards']","['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']","['OS: Windows 7 SP1 64-bit ', 'Processor: Intel Dual Core @ 2.0 GHz, AMD Dual Core @ 2.0 GHz) ', 'Memory: 4 GB or higher ', 'Hard Drive: 23 GB Free Space   ', 'Video: AMD Radeon 5450 or NVIDIA GeForce 420 or better with at least 1024 MB VRAM ', 'Network: ADSL connection (or faster)']"
Conqueror's Blade,"May 30, 2019",0,https://store.steampowered.com/app/905370/Conquerors_Blade/?snr=1_7_7_230_150_41,Mostly Positive,73,,"['MMO', 'Online PvP', 'Online Co-op', 'In-App Purchases', 'Remote Play on Tablet']","['Action', 'Free to Play', 'Massively Multiplayer']","['Requires a 64-bit processor and operating system', 'OS: Windows 7 64 Bit', 'Processor: Intel Core i5-4460', 'Memory: 8 GB RAM', 'Graphics: GTX 750 2GB / AMD HD 5870 2GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space', 'Additional Notes: Requires a 64-bit processor and operating system.']"
Rogue Company,"Jul 20, 2021",0,https://store.steampowered.com/app/872200/Rogue_Company/?snr=1_7_7_230_150_41,Mostly Positive,74,,"['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",['Action'],"['Requires a 64-bit processor and operating system', 'OS: Windows 7 64 bit', 'Processor: Intel(R) Core i5-2320', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce GTX 555', 'Storage: 20 GB available space']"
Shadowverse CCG,"Oct 27, 2016",0,https://store.steampowered.com/app/453480/Shadowverse_CCG/?snr=1_7_7_230_150_41,Mostly Positive,70,,"['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Free to Play', 'Strategy']",[]
Elsword,"Jul 2, 2014",0,https://store.steampowered.com/app/237310/Elsword/?snr=1_7_7_230_150_41,Mixed,54,,"['Single-player', 'MMO']","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer']","['OS:Windows 7 (32bit) ', 'Processor:Intel/AMD (2GHz) ', 'Memory:2GB ', 'Graphics:Nvidia GeForce 8600 GT ', 'DirectX®:9.0C ', 'Hard Drive:14GB or more free space']"
WAKFU,"Sep 18, 2014",0,https://store.steampowered.com/app/215080/WAKFU/?snr=1_7_7_230_150_41,Mixed,62,,"['MMO', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']","['OS: Windows XP SP3 or higher', 'Processor: Pentium IV 2.8 GHz or equivalent', 'Memory: 1 GB RAM', 'Graphics: GeForce 4Ti or equivalent', 'Network: Broadband Internet connection', 'Storage: 1500 MB available space', 'Additional Notes: OpenGL 1.3']"
Soulworker,"May 12, 2021",0,https://store.steampowered.com/app/1377580/Soulworker/?snr=1_7_7_230_150_41,Mostly Positive,72,,"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Free to Play', 'Massively Multiplayer']","['OS: Windows 7, 32 bit or above', 'Processor: Intel Core2 duo E8300 or above', 'Memory: 2 GB RAM', 'Graphics: Geforce GTX 440 / Radeon HD 4850', 'DirectX: Version 9.0c', 'Network: Broadband Internet connection', 'Storage: 20 GB available space', 'Additional Notes: ']"
Builders of Egypt: Prologue,"Mar 2, 2020",0,https://store.steampowered.com/app/1207590/Builders_of_Egypt_Prologue/?snr=1_7_7_230_150_41,Very Positive,90,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Free to Play', 'Indie', 'Simulation', 'Early Access', 'Strategy Labs', 'Strategy Labs']","['Requires a 64-bit processor and operating system', 'OS: Windows 8.1x64 / Windows 10x64', 'Processor: Intel Core i3 4130 or greater', 'Memory: 2 GB RAM', 'Graphics: GTX 750ti or greater', 'Storage: 4 GB available space', 'Sound Card: DirectX Compatible Sound Device']"
Battle Islands,"Aug 6, 2014",0,https://store.steampowered.com/app/305260/Battle_Islands/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements']","['Free to Play', 'Simulation']",[]
Mabinogi,"Dec 6, 2012",0,https://store.steampowered.com/app/212200/Mabinogi/?snr=1_7_7_230_150_41,Very Positive,81,,"['Single-player', 'MMO', 'Steam Trading Cards']","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",[]
Simply Chess,"Sep 11, 2015",0,https://store.steampowered.com/app/312280/Simply_Chess/?snr=1_7_7_230_150_41,Very Positive,85,,"['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']","['Casual', 'Free to Play', 'Indie']","['OS: Windows XP or better', 'Processor: 1 gHz', 'Memory: 512 MB RAM', 'Graphics: OpenGL 2.1+ w/ GL_ARB_framebuffer_object', 'Storage: 300 MB available space']"
Animation Throwdown: The Quest for Cards,"May 5, 2017",0,https://store.steampowered.com/app/591960/Animation_Throwdown_The_Quest_for_Cards/?snr=1_7_7_230_150_41,Very Positive,86,,"['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Adventure', 'Free to Play', 'RPG', 'Strategy']",[]
World of Warplanes,"Sep 12, 2018",0,https://store.steampowered.com/app/790710/World_of_Warplanes/?snr=1_7_7_230_150_41,Mostly Positive,72,,"['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Free to Play', 'Massively Multiplayer']","['OS: Windows 7 / 8 / 10', 'Processor: Intel Core i3-2xxx or higher', 'Memory: 4 GB RAM', 'Graphics: Shaders 3.0 (NVIDIA GeForce 9600 GT 512MB, Radeon HD 3870) / higher)', 'DirectX: Version 9.0c', 'Network: Broadband Internet connection', 'Storage: 35 GB available space', 'Sound Card: DirectX 9.0c compatible', 'Additional Notes: Minimum screen resolution: 1280х768']"
